RSSI,Distance,Visibility
-51,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-59,1.5,nlos
-46,1.5,nlos
-58,1.5,nlos
-57,1.5,nlos
-47,1.5,nlos
-58,1.5,nlos
-70,1.5,nlos
-80,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-76,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-79,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-71,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-47,1.5,nlos
-77,1.5,nlos
-57,1.5,nlos
-82,1.5,nlos
-57,1.5,nlos
-79,1.5,nlos
-51,1.5,nlos
-76,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-72,1.5,nlos
-59,1.5,nlos
-52,1.5,nlos
-76,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-74,1.5,nlos
-77,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-79,1.5,nlos
-57,1.5,nlos
-75,1.5,nlos
-51,1.5,nlos
-76,1.5,nlos
-56,1.5,nlos
-75,1.5,nlos
-51,1.5,nlos
-59,1.5,nlos
-56,1.5,nlos
-48,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-73,1.5,nlos
-58,1.5,nlos
-53,1.5,nlos
-76,1.5,nlos
-59,1.5,nlos
-52,1.5,nlos
-77,1.5,nlos
-56,1.5,nlos
-73,1.5,nlos
-58,1.5,nlos
-75,1.5,nlos
-52,1.5,nlos
-80,1.5,nlos
-57,1.5,nlos
-48,1.5,nlos
-76,1.5,nlos
-59,1.5,nlos
-78,1.5,nlos
-72,1.5,nlos
-51,1.5,nlos
-83,1.5,nlos
-60,1.5,nlos
-73,1.5,nlos
-75,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-79,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-59,1.5,nlos
-52,1.5,nlos
-69,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-74,1.5,nlos
-58,1.5,nlos
-77,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-80,1.5,nlos
-59,1.5,nlos
-52,1.5,nlos
-59,1.5,nlos
-52,1.5,nlos
-68,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-73,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-71,1.5,nlos
-58,1.5,nlos
-48,1.5,nlos
-73,1.5,nlos
-58,1.5,nlos
-48,1.5,nlos
-74,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-52,1.5,nlos
-80,1.5,nlos
-57,1.5,nlos
-57,1.5,nlos
-48,1.5,nlos
-73,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-82,1.5,nlos
-46,1.5,nlos
-56,1.5,nlos
-58,1.5,nlos
-76,1.5,nlos
-57,1.5,nlos
-84,1.5,nlos
-58,1.5,nlos
-76,1.5,nlos
-50,1.5,nlos
-71,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-79,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-75,1.5,nlos
-60,1.5,nlos
-52,1.5,nlos
-71,1.5,nlos
-57,1.5,nlos
-47,1.5,nlos
-47,1.5,nlos
-71,1.5,nlos
-57,1.5,nlos
-75,1.5,nlos
-72,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-75,1.5,nlos
-57,1.5,nlos
-48,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-77,1.5,nlos
-80,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-74,1.5,nlos
-58,1.5,nlos
-53,1.5,nlos
-74,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-53,1.5,nlos
-56,1.5,nlos
-53,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-80,1.5,nlos
-57,1.5,nlos
-74,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-81,1.5,nlos
-73,1.5,nlos
-57,1.5,nlos
-53,1.5,nlos
-57,1.5,nlos
-53,1.5,nlos
-80,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-82,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-58,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-76,1.5,nlos
-51,1.5,nlos
-74,1.5,nlos
-57,1.5,nlos
-74,1.5,nlos
-53,1.5,nlos
-78,1.5,nlos
-74,1.5,nlos
-79,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-75,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-76,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-80,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-75,1.5,nlos
-58,1.5,nlos
-80,1.5,nlos
-77,1.5,nlos
-52,1.5,nlos
-77,1.5,nlos
-58,1.5,nlos
-57,1.5,nlos
-53,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-77,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-81,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-78,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-79,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-80,1.5,nlos
-58,1.5,nlos
-82,1.5,nlos
-88,1.5,nlos
-51,1.5,nlos
-80,1.5,nlos
-59,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-57,1.5,nlos
-58,1.5,nlos
-58,1.5,nlos
-83,1.5,nlos
-58,1.5,nlos
-81,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-84,1.5,nlos
-56,1.5,nlos
-79,1.5,nlos
