RSSI,Distance,Visibility
-52,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-57,2.5,nlos
-51,2.5,nlos
-53,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-54,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-57,2.5,nlos
-55,2.5,nlos
-56,2.5,nlos
-71,2.5,nlos
-64,2.5,nlos
-65,2.5,nlos
-55,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-53,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-57,2.5,nlos
-53,2.5,nlos
-50,2.5,nlos
-58,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-50,2.5,nlos
-53,2.5,nlos
-57,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-53,2.5,nlos
-57,2.5,nlos
-51,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-58,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-57,2.5,nlos
-57,2.5,nlos
-62,2.5,nlos
-59,2.5,nlos
-67,2.5,nlos
-64,2.5,nlos
-57,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-49,2.5,nlos
-52,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-50,2.5,nlos
-57,2.5,nlos
-54,2.5,nlos
-50,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-51,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-53,2.5,nlos
-66,2.5,nlos
-58,2.5,nlos
-59,2.5,nlos
-53,2.5,nlos
-53,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-51,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-54,2.5,nlos
-55,2.5,nlos
-50,2.5,nlos
-49,2.5,nlos
-53,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-51,2.5,nlos
-53,2.5,nlos
-50,2.5,nlos
-50,2.5,nlos
-56,2.5,nlos
-57,2.5,nlos
-63,2.5,nlos
-61,2.5,nlos
-64,2.5,nlos
-59,2.5,nlos
-54,2.5,nlos
-55,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-53,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-53,2.5,nlos
-54,2.5,nlos
-53,2.5,nlos
-59,2.5,nlos
-60,2.5,nlos
-56,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-51,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-57,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-51,2.5,nlos
-54,2.5,nlos
-50,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-47,2.5,nlos
-54,2.5,nlos
-54,2.5,nlos
-51,2.5,nlos
-56,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-57,2.5,nlos
-51,2.5,nlos
-54,2.5,nlos
-53,2.5,nlos
-51,2.5,nlos
-57,2.5,nlos
-50,2.5,nlos
-53,2.5,nlos
-56,2.5,nlos
-54,2.5,nlos
-53,2.5,nlos
-56,2.5,nlos
-53,2.5,nlos
-53,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-51,2.5,nlos
-52,2.5,nlos
-57,2.5,nlos
-52,2.5,nlos
-57,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-57,2.5,nlos
-53,2.5,nlos
-53,2.5,nlos
-56,2.5,nlos
-60,2.5,nlos
-55,2.5,nlos
-54,2.5,nlos
-54,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-51,2.5,nlos
-56,2.5,nlos
-50,2.5,nlos
-48,2.5,nlos
-53,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-64,2.5,nlos
-63,2.5,nlos
-63,2.5,nlos
-66,2.5,nlos
-60,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-52,2.5,nlos
-56,2.5,nlos
-53,2.5,nlos
-54,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-58,2.5,nlos
-52,2.5,nlos
-55,2.5,nlos
-55,2.5,nlos
-55,2.5,nlos
-63,2.5,nlos
-56,2.5,nlos
-59,2.5,nlos
-51,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-49,2.5,nlos
-54,2.5,nlos
-51,2.5,nlos
-50,2.5,nlos
-53,2.5,nlos
-52,2.5,nlos
-52,2.5,nlos
-51,2.5,nlos
-61,2.5,nlos
-55,2.5,nlos
-57,2.5,nlos
-53,2.5,nlos
-51,2.5,nlos
-56,2.5,nlos
-52,2.5,nlos
-57,2.5,nlos
-52,2.5,nlos
-54,2.5,nlos
-51,2.5,nlos
-55,2.5,nlos
-54,2.5,nlos
-51,2.5,nlos
