RSSI,Distance,Visibility
-63,2.5,nlos
-58,2.5,nlos
-62,2.5,nlos
-64,2.5,nlos
-59,2.5,nlos
-62,2.5,nlos
-64,2.5,nlos
-59,2.5,nlos
-62,2.5,nlos
-65,2.5,nlos
-60,2.5,nlos
-65,2.5,nlos
-65,2.5,nlos
-58,2.5,nlos
-63,2.5,nlos
-61,2.5,nlos
-61,2.5,nlos
-68,2.5,nlos
-59,2.5,nlos
-63,2.5,nlos
-65,2.5,nlos
-61,2.5,nlos
-67,2.5,nlos
-59,2.5,nlos
-63,2.5,nlos
-67,2.5,nlos
-62,2.5,nlos
-59,2.5,nlos
-77,2.5,nlos
-60,2.5,nlos
-66,2.5,nlos
-61,2.5,nlos
-65,2.5,nlos
-58,2.5,nlos
-66,2.5,nlos
-63,2.5,nlos
-59,2.5,nlos
-67,2.5,nlos
-68,2.5,nlos
-65,2.5,nlos
-58,2.5,nlos
-58,2.5,nlos
-60,2.5,nlos
-62,2.5,nlos
-66,2.5,nlos
-78,2.5,nlos
-65,2.5,nlos
-63,2.5,nlos
-67,2.5,nlos
-68,2.5,nlos
-66,2.5,nlos
-65,2.5,nlos
-77,2.5,nlos
-63,2.5,nlos
-74,2.5,nlos
-73,2.5,nlos
-70,2.5,nlos
-74,2.5,nlos
-68,2.5,nlos
-61,2.5,nlos
-62,2.5,nlos
-69,2.5,nlos
-67,2.5,nlos
-60,2.5,nlos
-65,2.5,nlos
-71,2.5,nlos
-61,2.5,nlos
-63,2.5,nlos
-63,2.5,nlos
-60,2.5,nlos
-60,2.5,nlos
-63,2.5,nlos
-71,2.5,nlos
-61,2.5,nlos
-59,2.5,nlos
-71,2.5,nlos
-71,2.5,nlos
-61,2.5,nlos
-59,2.5,nlos
-68,2.5,nlos
-61,2.5,nlos
-59,2.5,nlos
-70,2.5,nlos
-70,2.5,nlos
-62,2.5,nlos
-60,2.5,nlos
-61,2.5,nlos
-71,2.5,nlos
-72,2.5,nlos
-61,2.5,nlos
-73,2.5,nlos
-63,2.5,nlos
-62,2.5,nlos
-60,2.5,nlos
-58,2.5,nlos
-60,2.5,nlos
-71,2.5,nlos
-58,2.5,nlos
-72,2.5,nlos
-60,2.5,nlos
-57,2.5,nlos
-69,2.5,nlos
-60,2.5,nlos
-58,2.5,nlos
-69,2.5,nlos
-61,2.5,nlos
-57,2.5,nlos
-69,2.5,nlos
-61,2.5,nlos
-69,2.5,nlos
-61,2.5,nlos
-57,2.5,nlos
-69,2.5,nlos
-61,2.5,nlos
-71,2.5,nlos
-63,2.5,nlos
-57,2.5,nlos
-71,2.5,nlos
-61,2.5,nlos
-58,2.5,nlos
