RSSI,Distance,Visibility
-51,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-53,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-51,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-50,1.5,nlos
-56,1.5,nlos
-50,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-54,1.5,nlos
-55,1.5,nlos
-52,1.5,nlos
-52,1.5,nlos
-55,1.5,nlos
-51,1.5,nlos
-50,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-64,1.5,nlos
-54,1.5,nlos
-56,1.5,nlos
-57,1.5,nlos
-50,1.5,nlos
-50,1.5,nlos
-55,1.5,nlos
-53,1.5,nlos
-52,1.5,nlos
-54,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-50,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-47,1.5,nlos
-57,1.5,nlos
-49,1.5,nlos
-60,1.5,nlos
-51,1.5,nlos
-49,1.5,nlos
-59,1.5,nlos
-68,1.5,nlos
-57,1.5,nlos
-49,1.5,nlos
-50,1.5,nlos
-52,1.5,nlos
-50,1.5,nlos
-52,1.5,nlos
-50,1.5,nlos
-57,1.5,nlos
-47,1.5,nlos
-50,1.5,nlos
-56,1.5,nlos
-49,1.5,nlos
-73,1.5,nlos
-49,1.5,nlos
-54,1.5,nlos
-56,1.5,nlos
-49,1.5,nlos
-63,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-55,1.5,nlos
-52,1.5,nlos
-65,1.5,nlos
-52,1.5,nlos
-65,1.5,nlos
-50,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-53,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-49,1.5,nlos
-51,1.5,nlos
-54,1.5,nlos
-50,1.5,nlos
-47,1.5,nlos
-58,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-58,1.5,nlos
-54,1.5,nlos
-51,1.5,nlos
-58,1.5,nlos
-50,1.5,nlos
-51,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-55,1.5,nlos
-52,1.5,nlos
-50,1.5,nlos
-53,1.5,nlos
-54,1.5,nlos
-49,1.5,nlos
-56,1.5,nlos
-49,1.5,nlos
-52,1.5,nlos
-55,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-53,1.5,nlos
-64,1.5,nlos
-52,1.5,nlos
-54,1.5,nlos
-52,1.5,nlos
-53,1.5,nlos
-54,1.5,nlos
-53,1.5,nlos
-49,1.5,nlos
-55,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-55,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-62,1.5,nlos
-82,1.5,nlos
-54,1.5,nlos
-50,1.5,nlos
-52,1.5,nlos
-47,1.5,nlos
-46,1.5,nlos
-57,1.5,nlos
-48,1.5,nlos
-58,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
-50,1.5,nlos
-69,1.5,nlos
-65,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-58,1.5,nlos
-49,1.5,nlos
-51,1.5,nlos
-55,1.5,nlos
-51,1.5,nlos
-59,1.5,nlos
-49,1.5,nlos
-54,1.5,nlos
-58,1.5,nlos
-60,1.5,nlos
-72,1.5,nlos
-71,1.5,nlos
-52,1.5,nlos
-62,1.5,nlos
-52,1.5,nlos
-55,1.5,nlos
-57,1.5,nlos
-57,1.5,nlos
-63,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-46,1.5,nlos
-51,1.5,nlos
-54,1.5,nlos
-56,1.5,nlos
-59,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-57,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-69,1.5,nlos
-70,1.5,nlos
-67,1.5,nlos
-58,1.5,nlos
-50,1.5,nlos
-52,1.5,nlos
-44,1.5,nlos
-58,1.5,nlos
-60,1.5,nlos
-50,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-63,1.5,nlos
-52,1.5,nlos
-55,1.5,nlos
-50,1.5,nlos
-50,1.5,nlos
-57,1.5,nlos
-58,1.5,nlos
-57,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-57,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-48,1.5,nlos
-56,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-56,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-61,1.5,nlos
-64,1.5,nlos
-61,1.5,nlos
-49,1.5,nlos
-50,1.5,nlos
-60,1.5,nlos
-59,1.5,nlos
-49,1.5,nlos
-60,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-56,1.5,nlos
-50,1.5,nlos
-50,1.5,nlos
-58,1.5,nlos
-50,1.5,nlos
-55,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-57,1.5,nlos
-50,1.5,nlos
-51,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-51,1.5,nlos
-52,1.5,nlos
-58,1.5,nlos
